epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,29932.1,1.40196,0.87189,1.16979,0.70849,0.72825,0.73472,0.29418,1.92864,1.03515,1.45746,0.000209622,0.000209622,0.000209622
67,30405.7,1.41792,0.8745,1.18499,0.74556,0.70128,0.7247,0.28788,1.92449,1.03259,1.45255,0.000203801,0.000203801,0.000203801
68,30855.3,1.38634,0.8488,1.16088,0.72577,0.69867,0.71437,0.28318,1.94026,1.04311,1.45691,0.00019798,0.00019798,0.00019798
69,31275.8,1.39645,0.8638,1.16075,0.71655,0.71146,0.72599,0.29016,1.93796,1.03587,1.46206,0.000192158,0.000192158,0.000192158
70,31692.3,1.40747,0.86496,1.17898,0.72599,0.70017,0.72898,0.29218,1.91,1.03495,1.44846,0.000186337,0.000186337,0.000186337
71,32102.3,1.37356,0.84114,1.14337,0.72497,0.7172,0.73558,0.28788,1.91762,1.02983,1.44618,0.000180516,0.000180516,0.000180516
72,32504.2,1.36238,0.83741,1.13933,0.73206,0.72457,0.73238,0.28708,1.92829,1.03122,1.4621,0.000174695,0.000174695,0.000174695
73,32878.8,1.35558,0.84749,1.14721,0.73079,0.71635,0.73483,0.29297,1.92058,1.01266,1.47245,0.000168874,0.000168874,0.000168874
74,39699,1.3373,0.82501,1.13329,0.75928,0.68897,0.72072,0.28186,1.9421,1.02496,1.48413,0.000163052,0.000163052,0.000163052
75,39929.7,1.41475,0.85276,1.17286,0.75553,0.71152,0.73314,0.29087,1.93794,1.01829,1.48126,0.000157231,0.000157231,0.000157231
76,40157.5,1.36054,0.83372,1.1579,0.7529,0.72953,0.73919,0.2943,1.91,1.01396,1.46555,0.00015141,0.00015141,0.00015141
77,40392.7,1.36105,0.83486,1.15914,0.75087,0.72596,0.73689,0.28901,1.93373,1.02438,1.47224,0.000145589,0.000145589,0.000145589
78,40614.5,1.357,0.81341,1.13523,0.75587,0.69645,0.72562,0.28495,1.95492,1.01918,1.49004,0.000139768,0.000139768,0.000139768
79,40848.2,1.36131,0.83359,1.13381,0.73913,0.71767,0.73528,0.28831,1.92315,1.00986,1.47711,0.000133946,0.000133946,0.000133946
80,41115.7,1.34753,0.81983,1.1396,0.75902,0.71182,0.73092,0.28959,1.93695,1.01282,1.47789,0.000128125,0.000128125,0.000128125
81,41381.5,1.34449,0.80999,1.13698,0.73653,0.72746,0.73874,0.28985,1.93821,1.00112,1.47296,0.000122304,0.000122304,0.000122304
82,41652.7,1.33182,0.79407,1.13778,0.76855,0.715,0.73992,0.28964,1.95189,1.00306,1.48663,0.000116483,0.000116483,0.000116483
